brainwt,bodywt,animal
0.48,15.499,Owl_monkey
1.35,8.1,Beaver
1.04,5.5,Guinea_pig
0.425,6.4,Chinchilla
0.10099999999999999,4.0,Ground_squirrel
0.92,5.7,Arctic
1.0,6.6,African_giant_pouched_rat
0.005,0.14,Lesser_short-tailed-shrew
0.06,1.0,Star-nosed_mole
3.5,10.8,Nine-banded_armadillo
2.0,12.3,Tree_hyrax
1.7,6.3,N._American
0.023,0.3,Big_brown_bat
0.785,3.5,European_hedgehog
0.2,5.0,Galago
1.41,17.5,Genet
0.75,12.3,Rock_hyrax1
3.5,3.9,Water_opossum
4.05,17.0,Yellow-bellied_marmot
0.12,1.0,Golden_hamster
0.023,0.4,Mouse
0.01,0.25,Little_brown_bat
1.4,12.5,Slow_loris
2.5,12.1,Rabbit
0.55,2.4,Desert_hedgehog
0.28,1.9,Rat
0.075,1.2,E._American_mole
0.122,3.0,Mole_rat
0.048,0.33,Musk_shrew
0.9,2.6,Tenrec
1.62,11.4,Phalanger
0.10400000000000001,2.5,Tree_shrew
